platform_id,name
376,Epoch Super Cassette Vision
510,e-Reader / Card-e Reader
12,Xbox 360
32,Sega Saturn
62,Atari Jaguar
148,AY-3-8607
150,Turbografx-16/PC Engine CD
156,Thomson MO5
306,Satellaview
339,Sega Pico
389,AirConsole
13,DOS
60,Atari 7800
41,Wii U
309,Evercade
506,Amstrad GX4000
112,Microcomputer
410,Atari Jaguar CD
30,Sega 32X
53,MSX2
61,Atari Lynx
77,Sharp X1
120,Neo Geo Pocket Color
127,Fairchild Channel F
132,Amazon Fire TV
413,Leapster Explorer/LeadPad Explorer
140,AY-3-8500
143,AY-3-8760
153,Dragon 32/64
167,PlayStation 5
154,Amstrad PCW
70,Vectrex
87,Virtual Boy
145,AY-3-8603
386,Meta Quest 2
390,PlayStation VR2
65,Atari 8-bit
158,Commodore CDTV
165,PlayStation VR
504,Uzebox
440,Visual Memory Unit / Visual Memory System
473,Arcadia 2001
474,Gizmondo
48,PlayStation 4
51,Family Computer Disk System
89,Microvision
94,Commodore Plus/4
123,WonderSwan Color
128,PC Engine SuperGrafx
129,Texas Instruments TI-99
482,Sega CD 32X
3,Linux
6,PC (Microsoft Windows)
8,PlayStation 2
88,Odyssey
97,PDP-8
23,Dreamcast
136,Neo Geo CD
134,Acorn Electron
35,Sega Game Gear
39,iOS
44,Tapwave Zodiac
78,Sega CD
146,AY-3-8605
163,SteamVR
373,Sinclair ZX81
147,AY-3-8606
149,PC-9800 Series
237,Sol-20
505,Elektor TV Games Computer
24,Game Boy Advance
72,Ouya
85,Donner Model 30
115,Apple IIGS
119,Neo Geo Pocket
125,PC-8800 Series
133,Odyssey 2 / Videopac G7000
135,Hyper Neo Geo 64
142,PC-50X Family
9,PlayStation 3
98,DEC GT40
11,Xbox
111,Imlac PDS-1
162,Oculus VR
15,Commodore C64/128/MAX
18,Nintendo Entertainment System
20,Nintendo DS
308,Playdia
116,Acorn Archimedes
117,Philips CD-i
22,Game Boy Color
46,PlayStation Vita
67,Intellivision
73,BlackBerry OS
86,TurboGrafx-16/PC Engine
66,Atari 5200
108,PDP-11
109,CDC Cyber 70
113,OnLive Game System
118,FM Towns
121,Sharp X68000
131,Super NES CD-ROM System
138,VC 4000
139,1292 Advanced Programmable Video System
152,FM-7
155,Tatung Einstein
157,NEC PC-6000 Series
307,Game & Watch
114,Amiga CD32
161,Windows Mixed Reality
374,Sharp MZ-2200
375,Epoch Cassette Vision
377,Plug & Play
379,Game.com
103,PDP-7
382,Intellivision Amico
384,Oculus Quest
385,Oculus Rift
387,Oculus Go
479,Terebikko / See 'n Say Video Phone
507,Advanced Pico Beena
508,Nintendo Switch 2
21,Nintendo GameCube
33,Game Boy
137,New Nintendo 3DS
38,PlayStation Portable
42,N-Gage
57,WonderSwan
69,BBC Microcomputer System
71,Commodore VIC-20
74,Windows Phone
79,Neo Geo MVS
80,Neo Geo AES
84,SG-1000
91,Bally Astrocade
93,Commodore 16
96,PDP-10
122,Nuon
141,AY-3-8610
170,Google Stadia
388,Gear VR
372,OOParts
203,DUPLICATE Stadia
164,Daydream
380,Casio Loopy
100,Analogue electronics
415,Watara/QuickShot Supervision
478,Panasonic M2
486,Digiblast
381,Playdate
509,Polymega
26,ZX Spectrum
378,Gamate
27,MSX
37,Nintendo 3DS
169,Xbox Series X|S
64,Sega Master System/Mark III
95,PDP-1
99,Family Computer
102,EDSAC
104,HP 2100
105,HP 3000
106,SDS Sigma 7
107,Call-A-Computer time-shared mainframe computer system
110,PLATO
151,TRS-80 Color Computer
166,Pokémon mini
50,3DO Interactive Multiplayer
238,DVD Player
239,Blu-ray Player
240,Zeebo
274,PC-FX
411,Handheld Electronic LCD
236,Exidy Sorcerer
405,Windows Mobile
406,Sinclair QL
407,HyperScan
408,Mega Duck/Cougar Boy
409,Legacy Computer
412,Leapster
414,LeapTV
417,Palm OS
439,V.Smile
441,PocketStation
471,Meta Quest 3
472,visionOS
475,R-Zone
476,Apple Pippin
480,Super A'Can
481,Tomy Tutor / Pyuta / Grandstand Tutor
7,PlayStation
16,Amiga
68,ColecoVision
25,Amstrad CPC
29,Sega Mega Drive/Genesis
34,Android
47,Virtual Console
52,Arcade
416,64DD
438,Arduboy
59,Atari 2600
90,Commodore PET
126,TRS-80
130,Nintendo Switch
159,Nintendo DSi
487,LaserActive
4,Nintendo 64
5,Wii
14,Mac
19,Super Nintendo Entertainment System
49,Xbox One
55,Legacy Mobile Device
58,Super Famicom
63,Atari ST/STE
75,Apple II
82,Web browser
